epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1182.7,0.83342,1.04347,1.16342,0.79268,0.8825,0.89077,0.6579,0.85873,1.09495,1.18292,0.000166689,0.000166689,0.000166689
71,1199.3,0.84203,1.01807,1.07642,0.7787,0.8754,0.88391,0.66051,0.85478,1.09512,1.17632,0.000161482,0.000161482,0.000161482
72,1215.91,0.78923,0.9779,1.07402,0.81634,0.85443,0.89632,0.66479,0.86809,1.10798,1.17979,0.000156275,0.000156275,0.000156275
73,1232.04,0.83728,0.99645,1.07594,0.79867,0.88351,0.90173,0.66144,0.85944,1.10743,1.17057,0.000151067,0.000151067,0.000151067
74,1248.11,0.8582,1.03349,1.10639,0.83307,0.89557,0.9179,0.67467,0.85686,1.08532,1.16352,0.00014586,0.00014586,0.00014586
75,1264.86,0.79289,0.96542,1.07834,0.83835,0.9082,0.92729,0.66873,0.8649,1.06168,1.1688,0.000140652,0.000140652,0.000140652
76,1280.77,0.80249,0.98624,1.09556,0.82145,0.91058,0.92853,0.6678,0.86468,1.0549,1.16941,0.000135445,0.000135445,0.000135445
77,1296.55,0.7762,0.96182,1.07603,0.7956,0.9305,0.92941,0.67364,0.86057,1.05861,1.16957,0.000130238,0.000130238,0.000130238
78,1313.79,0.79859,0.98752,1.07504,0.78359,0.92169,0.91648,0.6805,0.85787,1.05507,1.16934,0.00012503,0.00012503,0.00012503
79,1330.12,0.76607,0.99339,1.0776,0.79382,0.91892,0.91035,0.68439,0.85593,1.05787,1.17312,0.000119823,0.000119823,0.000119823
80,1347.19,0.80761,1.01346,1.07239,0.80572,0.8901,0.90594,0.68386,0.84437,1.05666,1.17625,0.000114615,0.000114615,0.000114615
81,1364.19,0.77986,0.95868,1.06211,0.79839,0.9087,0.91082,0.68387,0.83686,1.05101,1.16944,0.000109408,0.000109408,0.000109408
82,1381.66,0.78933,0.96626,1.05513,0.79395,0.8814,0.91322,0.67882,0.8336,1.04069,1.15865,0.000104201,0.000104201,0.000104201
83,1398.28,0.82123,1.00337,1.10241,0.78678,0.87699,0.90557,0.67807,0.83422,1.03833,1.15711,9.89932e-05,9.89932e-05,9.89932e-05
84,1414.03,0.80669,1.02071,1.09315,0.79025,0.87544,0.90286,0.67549,0.84124,1.03827,1.16027,9.37858e-05,9.37858e-05,9.37858e-05
85,1430.53,0.76478,0.94371,1.04672,0.79129,0.8745,0.89532,0.67306,0.84821,1.04241,1.16933,8.85784e-05,8.85784e-05,8.85784e-05
